,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
12,5.0,0.0,0.0,0.0,0.0,0.0,12.0,57.0,5.0,47.0,32.0,24.0,0.0,8.0,10.0,23.0,10.0,10.0,11.0,0.0,24.0,0.0,15.0,0.0,36.0,0.0,49.0,42.0,26.0,7.0
13,4.0,13.0,10.0,0.0,0.0,6.0,0.0,48.0,14.0,51.0,28.0,42.0,19.0,0.0,13.0,0.0,25.0,41.0,13.0,8.0,23.0,17.0,39.0,9.0,12.0,1.0,18.0,27.0,33.0,18.0
14,21.0,15.0,9.0,14.0,19.0,5.0,2.0,9.0,14.0,48.0,38.0,28.0,28.0,23.0,0.0,7.0,10.0,15.0,39.0,5.0,26.0,4.0,8.0,2.0,34.0,11.0,21.0,37.0,8.0,7.0
15,31.0,23.0,31.0,16.0,13.0,0.0,0.0,20.0,28.0,2.0,3.0,23.0,12.0,19.0,0.0,0.0,82.0,11.0,0.0,0.0,16.0,23.0,14.0,3.0,0.0,16.0,0.0,41.0,27.0,6.0
16,1.0,4.0,5.0,0.0,3.0,5.0,0.0,0.0,0.0,10.0,0.0,16.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,2.0,17.0,20.0,5.0,11.0,15.0,0.0,7.0,7.0,4.0,7.0
17,11.0,22.0,0.0,0.0,7.0,0.0,8.0,33.0,23.0,35.0,15.0,7.0,22.0,4.0,15.0,0.0,42.0,0.0,14.0,0.0,6.0,10.0,51.0,8.0,48.0,22.0,33.0,27.0,38.0,14.0
18,22.0,30.0,5.0,0.0,6.0,0.0,3.0,11.0,4.0,26.0,27.0,17.0,3.0,42.0,13.0,11.0,25.0,11.0,0.0,5.0,12.0,53.0,2.0,9.0,41.0,5.0,31.0,23.0,31.0,10.0
19,7.0,44.0,20.0,1.0,21.0,17.0,24.0,25.0,63.0,55.0,28.0,37.0,32.0,0.0,12.0,40.0,41.0,22.0,5.0,0.0,43.0,54.0,66.0,29.0,14.0,15.0,26.0,82.0,53.0,17.0
20,16.0,11.0,0.0,2.0,0.0,0.0,20.0,37.0,0.0,30.0,4.0,2.0,24.0,10.0,12.0,9.0,0.0,15.0,13.0,0.0,0.0,0.0,4.0,0.0,0.0,18.0,21.0,9.0,0.0,18.0
21,0.0,0.0,6.0,11.0,57.0,14.0,25.0,31.0,29.0,6.0,5.0,22.0,35.0,0.0,8.0,24.0,32.0,17.0,0.0,5.0,19.0,0.0,9.0,2.0,17.0,24.0,39.0,14.0,13.0,22.0
22,12.0,28.0,28.0,1.0,0.0,9.0,20.0,16.0,1.0,3.0,16.0,12.0,0.0,0.0,6.0,23.0,21.0,0.0,0.0,0.0,2.0,26.0,0.0,0.0,49.0,7.0,27.0,40.0,0.0,17.0
23,14.0,7.0,30.0,23.0,26.0,13.0,21.0,69.0,31.0,53.0,50.0,39.0,57.0,56.0,26.0,17.0,0.0,29.0,34.0,0.0,50.0,14.0,10.0,0.0,43.0,39.0,57.0,11.0,99.0,6.0
24,0.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,9.0,38.0,7.0,0.0,4.0,13.0,18.0,19.0,43.0,16.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,8.0,18.0,2.0,51.0,1.0
25,0.0,8.0,31.0,0.0,19.0,0.0,0.0,20.0,0.0,12.0,82.0,10.0,42.0,27.0,8.0,0.0,36.0,34.0,27.0,0.0,19.0,0.0,9.0,4.0,10.0,0.0,0.0,24.0,48.0,6.0
26,0.0,0.0,16.0,5.0,24.0,0.0,0.0,31.0,0.0,39.0,44.0,20.0,13.0,8.0,11.0,12.0,6.0,39.0,14.0,12.0,10.0,7.0,2.0,20.0,22.0,27.0,0.0,3.0,54.0,0.0
27,0.0,16.0,1.0,0.0,3.0,25.0,0.0,12.0,10.0,0.0,14.0,4.0,0.0,0.0,0.0,0.0,33.0,0.0,16.0,0.0,7.0,44.0,25.0,0.0,6.0,0.0,18.0,0.0,0.0,0.0
28,3.0,0.0,0.0,0.0,0.0,0.0,50.0,15.0,0.0,8.0,32.0,60.0,6.0,11.0,28.0,2.0,12.0,3.0,3.0,0.0,20.0,7.0,23.0,0.0,32.0,9.0,13.0,19.0,0.0,0.0
29,16.0,22.0,18.0,16.0,20.0,18.0,19.0,5.0,20.0,30.0,18.0,31.0,32.0,18.0,12.0,12.0,35.0,5.0,21.0,3.0,23.0,9.0,42.0,0.0,10.0,4.0,30.0,33.0,25.0,0.0
