,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
10,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0
11,0.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0
12,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,2.0,1.0
13,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,3.0,1.0,2.0,0.0,2.0,0.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0
14,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0
15,3.0,3.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,2.0,0.0,4.0,1.0,1.0
16,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0
17,2.0,2.0,0.0,0.0,1.0,0.0,2.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0
18,2.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0
19,1.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,0.0,1.0,3.0,3.0,2.0,1.0,0.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,4.0,2.0,3.0
20,1.0,2.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0
21,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0
22,3.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0
23,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,1.0,0.0,2.0,2.0,0.0,4.0,1.0,2.0,0.0,3.0,3.0,3.0,2.0,4.0,2.0
24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0
25,0.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,4.0,1.0,4.0,3.0,1.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,3.0,1.0
26,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,2.0,0.0
27,0.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
28,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0
29,2.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,4.0,2.0,0.0
