,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
99,8:30p,Boston Celtics,104,Indiana Pacers,96,Box Score,,"17,923",
100,9:30p,Portland Trail Blazers,108,Oklahoma City Thunder,120,Box Score,,"18,203",
101,7:00p,Toronto Raptors,98,Orlando Magic,93,Box Score,,"19,367",
102,3:00p,Philadelphia 76ers,112,Brooklyn Nets,108,Box Score,,"17,732",
103,8:00p,Milwaukee Bucks,119,Detroit Pistons,103,Box Score,,"20,520",
104,5:30p,Denver Nuggets,117,San Antonio Spurs,103,Box Score,,"18,354",
105,10:30p,Houston Rockets,104,Utah Jazz,101,Box Score,,"18,306",
106,1:00p,Boston Celtics,110,Indiana Pacers,106,Box Score,,"17,923",
107,3:30p,Golden State Warriors,113,Los Angeles Clippers,105,Box Score,,"19,068",
108,9:30p,Portland Trail Blazers,111,Oklahoma City Thunder,98,Box Score,,"18,203",
109,7:00p,Toronto Raptors,107,Orlando Magic,85,Box Score,,"19,087",
110,8:00p,Milwaukee Bucks,127,Detroit Pistons,104,Box Score,,"20,332",
111,10:30p,Houston Rockets,91,Utah Jazz,107,Box Score,,"18,306",
112,9:30p,San Antonio Spurs,90,Denver Nuggets,108,Box Score,,"19,520",
113,8:00p,Brooklyn Nets,100,Philadelphia 76ers,122,Box Score,,"20,595",
114,10:30p,Oklahoma City Thunder,115,Portland Trail Blazers,118,Box Score,,"20,241",
115,7:00p,Orlando Magic,96,Toronto Raptors,115,Box Score,,"19,800",
116,10:30p,Los Angeles Clippers,129,Golden State Warriors,121,Box Score,,"19,596",
117,8:00p,Utah Jazz,93,Houston Rockets,100,Box Score,,"18,055",
118,8:00p,Denver Nuggets,,San Antonio Spurs,,,,,
119,10:00p,Golden State Warriors,,Los Angeles Clippers,,,,,
120,1:00p,San Antonio Spurs,,Denver Nuggets,,,,,
121,1:00p,Philadelphia 76ers,,Toronto Raptors,,,,,
122,1:00p,Los Angeles Clippers,,Golden State Warriors,,,,,
123,1:00p,Philadelphia 76ers,,Toronto Raptors,,,,,
124,1:00p,Boston Celtics,,Milwaukee Bucks,,,,,
