,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
108,7:00p,Sacramento Kings,120,Dallas Mavericks,113,Box Score,,"19,935",
109,8:00p,Toronto Raptors,86,Denver Nuggets,95,Box Score,,"19,520",
110,5:00p,New York Knicks,99,Indiana Pacers,110,Box Score,,"16,646",
111,7:00p,Miami Heat,102,New Orleans Pelicans,96,Box Score,,"15,535",
112,6:00p,Los Angeles Lakers,110,Washington Wizards,128,Box Score,,"20,409",
113,7:00p,Milwaukee Bucks,107,Detroit Pistons,104,Box Score,,"15,051",
114,10:30p,Memphis Grizzlies,93,Golden State Warriors,110,Box Score,,"19,596",
115,8:00p,Utah Jazz,97,Houston Rockets,102,Box Score,,"18,055",
116,10:30p,Portland Trail Blazers,131,Los Angeles Clippers,127,Box Score,,"16,030",
117,8:00p,Sacramento Kings,105,Minnesota Timberwolves,132,Box Score,,"12,417",
118,7:30p,Phoenix Suns,128,New York Knicks,110,Box Score,,"18,437",
119,8:00p,Chicago Bulls,96,Oklahoma City Thunder,121,Box Score,,"18,203",
120,8:30p,Philadelphia 76ers,96,San Antonio Spurs,123,Box Score,,"17,486",
121,7:30p,Washington Wizards,110,Atlanta Hawks,118,Box Score,,"16,489",
122,7:30p,Los Angeles Lakers,110,Brooklyn Nets,115,Box Score,,"17,732",
123,9:00p,Dallas Mavericks,118,Denver Nuggets,126,Box Score,,"15,764",
124,7:00p,Cleveland Cavaliers,92,Indiana Pacers,91,Box Score,,"15,630",
125,7:30p,Phoenix Suns,111,Boston Celtics,103,Box Score,,"18,624",
126,8:00p,Brooklyn Nets,96,Chicago Bulls,93,Box Score,,"18,065",
127,7:00p,Cleveland Cavaliers,99,Charlotte Hornets,110,Box Score,,"15,179",
128,8:00p,Washington Wizards,118,Houston Rockets,136,Box Score,,"18,055",
129,8:00p,New Orleans Pelicans,115,Milwaukee Bucks,123,Box Score,,"17,341",
130,8:00p,Detroit Pistons,129,Minnesota Timberwolves,123,Box Score,OT,"15,883",
131,7:00p,San Antonio Spurs,129,Orlando Magic,90,Box Score,,"17,138",
132,7:00p,New York Knicks,109,Philadelphia 76ers,131,Box Score,,"20,424",
133,10:00p,Memphis Grizzlies,92,Portland Trail Blazers,99,Box Score,,"19,412",
134,10:00p,Oklahoma City Thunder,132,Sacramento Kings,113,Box Score,,"17,583",
135,7:30p,Indiana Pacers,96,Toronto Raptors,99,Box Score,,"19,800",
136,9:00p,Golden State Warriors,103,Utah Jazz,108,Box Score,,"18,306",
137,10:30p,Dallas Mavericks,121,Los Angeles Clippers,125,Box Score,,"17,528",
138,8:00p,Houston Rockets,99,Miami Heat,101,Box Score,,"19,600",
139,8:00p,Milwaukee Bucks,120,Boston Celtics,107,Box Score,,"18,624",
140,7:30p,Indiana Pacers,114,Brooklyn Nets,106,Box Score,,"13,302",
141,8:00p,Orlando Magic,80,Chicago Bulls,90,Box Score,,"20,436",
142,7:00p,Detroit Pistons,86,Charlotte Hornets,98,Box Score,,"15,812",
143,10:30p,New Orleans Pelicans,104,Los Angeles Lakers,112,Box Score,,"18,997",
144,7:30p,Atlanta Hawks,114,New York Knicks,107,Box Score,,"19,080",
145,10:00p,Utah Jazz,120,Portland Trail Blazers,90,Box Score,,"19,127",
146,10:00p,Memphis Grizzlies,99,Sacramento Kings,102,Box Score,,"16,369",
147,8:30p,Minnesota Timberwolves,98,San Antonio Spurs,124,Box Score,,"17,708",
148,7:00p,Cleveland Cavaliers,110,Toronto Raptors,126,Box Score,,"19,800",
149,8:30p,Dallas Mavericks,116,Golden State Warriors,120,Box Score,,"19,596",
150,8:00p,San Antonio Spurs,101,Houston Rockets,108,Box Score,,"18,055",
151,5:00p,Denver Nuggets,111,Los Angeles Clippers,132,Box Score,,"16,571",
152,8:00p,Milwaukee Bucks,87,Miami Heat,94,Box Score,,"19,600",
153,7:30p,Toronto Raptors,101,Philadelphia 76ers,126,Box Score,,"20,691",
154,9:00p,Oklahoma City Thunder,107,Utah Jazz,106,Box Score,,"18,306",
155,7:00p,Phoenix Suns,146,Washington Wizards,149,Box Score,3OT,"16,571",
156,6:00p,Charlotte Hornets,103,Boston Celtics,119,Box Score,,"18,624",
157,6:00p,Phoenix Suns,103,Brooklyn Nets,111,Box Score,,"15,310",
158,6:00p,Chicago Bulls,112,Cleveland Cavaliers,92,Box Score,,"19,432",
159,4:00p,Atlanta Hawks,98,Detroit Pistons,95,Box Score,,"16,532",
160,8:30p,Los Angeles Clippers,127,Golden State Warriors,129,Box Score,,"19,596",
161,5:00p,Washington Wizards,89,Indiana Pacers,105,Box Score,,"17,923",
162,9:30p,Memphis Grizzlies,107,Los Angeles Lakers,99,Box Score,,"18,997",
163,8:00p,Minnesota Timberwolves,114,Oklahoma City Thunder,112,Box Score,,"18,203",
164,6:00p,Miami Heat,115,Orlando Magic,91,Box Score,,"18,846",
165,9:00p,Dallas Mavericks,118,Portland Trail Blazers,121,Box Score,OT,"19,707",
166,6:00p,New Orleans Pelicans,117,Sacramento Kings,122,Box Score,,"16,643",
167,5:30p,Philadelphia 76ers,114,Boston Celtics,121,Box Score,OT,"18,624",
168,8:00p,Los Angeles Lakers,127,Golden State Warriors,101,Box Score,,"19,596",
169,3:00p,Oklahoma City Thunder,109,Houston Rockets,113,Box Score,,"18,055",
170,12:00p,Milwaukee Bucks,109,New York Knicks,95,Box Score,,"19,812",
171,10:30p,Portland Trail Blazers,96,Utah Jazz,117,Box Score,,"18,306",
172,7:30p,Indiana Pacers,129,Atlanta Hawks,121,Box Score,,"15,026",
173,7:30p,Charlotte Hornets,132,Brooklyn Nets,134,Box Score,2OT,"14,309",
174,8:00p,Minnesota Timberwolves,119,Chicago Bulls,94,Box Score,,"21,852",
175,8:30p,New Orleans Pelicans,119,Dallas Mavericks,122,Box Score,,"20,340",
176,7:00p,Washington Wizards,95,Detroit Pistons,106,Box Score,,"17,534",
177,10:30p,Sacramento Kings,118,Los Angeles Clippers,127,Box Score,,"19,068",
178,8:00p,Cleveland Cavaliers,87,Memphis Grizzlies,95,Box Score,,"16,424",
179,7:30p,Toronto Raptors,106,Miami Heat,104,Box Score,,"19,902",
180,7:00p,Phoenix Suns,122,Orlando Magic,120,Box Score,OT,"16,755",
181,8:30p,Denver Nuggets,103,San Antonio Spurs,111,Box Score,,"18,408",
182,10:30p,Portland Trail Blazers,110,Golden State Warriors,109,Box Score,OT,"19,596",
183,8:00p,Boston Celtics,113,Houston Rockets,127,Box Score,,"18,055",
184,8:00p,New York Knicks,96,Milwaukee Bucks,112,Box Score,,"18,058",
185,10:00p,Los Angeles Lakers,116,Sacramento Kings,117,Box Score,,"17,583",
186,10:30p,Philadelphia 76ers,114,Utah Jazz,97,Box Score,,"18,306",
187,7:00p,Brooklyn Nets,87,Charlotte Hornets,100,Box Score,,"19,411",
188,9:00p,San Antonio Spurs,99,Denver Nuggets,102,Box Score,,"20,076",
189,7:00p,Detroit Pistons,88,Indiana Pacers,125,Box Score,,"17,923",
190,10:30p,Los Angeles Clippers,118,Los Angeles Lakers,107,Box Score,,"18,997",
191,8:00p,Cleveland Cavaliers,94,Miami Heat,118,Box Score,,"19,617",
192,8:00p,Atlanta Hawks,123,Minnesota Timberwolves,120,Box Score,OT,"18,978",
